game_index,game_id,section,before_indices,after_indices,completion_index,completion,lcs_start,lcs_length,lcs_percent,seed,key,grammatical
0,6172feb1665491d1efbce164-0,setup,[59 63 89],[58 95],0,(and (exists (?b - ball ?h - hexagonal_bin) (or (on bed ?b) (on desk ?b))) (exists (?r - triangular_ramp) (game-optional (adjacent desk ?r))) )),19,23,0.1597222222222222,7,7.6172feb1665491d1efbce164-0.setup.0,False
0,6172feb1665491d1efbce164-0,setup,[59 63 89],[58 95],1,(and (exists (?b - basketball) (game-conserved (on desk ?b))) )),29,19,0.296875,7,7.6172feb1665491d1efbce164-0.setup.1,True
0,6172feb1665491d1efbce164-0,setup,[59 63 89],[58 95],2,(and (exists (?b - ball ?r - triangular_ramp ?h - hexagonal_bin) (game-conserved (and (adjacent_side ?h front ?r) (adjacent_side ?h ?r) (< (distance desk ?b) 1) (touch ?b ?r) (touch ?b ?h) (touch desk ?b) (= (distance ?b desk) (distance ?r desk)) (= (distance ?b desk) (distance ?h desk)) )) ) ),63,38,0.1288135593220339,7,7.6172feb1665491d1efbce164-0.setup.2,False
0,6172feb1665491d1efbce164-0,constraints,[ 1 27 28],[88 83],0,(and (preference throwToRampToBin (exists (?b - ball ?h - hexagonal_bin ?r - triangular_ramp) (then (once (and (agent_holds ?b) (adjacent agent desk))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (on ?r ?b))) (once (and (not (in_motion ?b)) (in ?h ?b))) ) ) ) (preference throwAttempt (exists (?b - ball) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) )),342,119,0.2581344902386117,7,7.6172feb1665491d1efbce164-0.constraints.0,True
0,6172feb1665491d1efbce164-0,constraints,[ 1 27 28],[88 83],1,(and (forall (?b - (either dodgeball golfball) ?t - (either hexagonal_bin triangular_ramp)) (preference throwToTarget (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) (preference throwAttempt (exists (?b - (either dodgeball golfball)) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) )),220,198,0.4736842105263157,7,7.6172feb1665491d1efbce164-0.constraints.1,True
0,6172feb1665491d1efbce164-0,constraints,[ 1 27 28],[88 83],2,(and (preference throwToRampToBin (exists (?b - ball) (then (once (and (agent_holds ?b) (adjacent agent door))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (on triangular_ramp ?b) (in hexagonal_bin ?b))) ) ) ) (preference throwAttempt (exists (?b - ball) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) ),53,143,0.348780487804878,7,7.6172feb1665491d1efbce164-0.constraints.2,True
0,6172feb1665491d1efbce164-0,constraints,[ 1 27 28],[88 83],3,(and (preference throwToRampToBin (exists (?b - ball ?r - triangular_ramp ?h - hexagonal_bin) (then (once (and (agent_holds ?b) (adjacent agent door))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (in ?r ?b))) (hold (and (not (in_motion ?b)) (on ?r ?b))) (once (and (not (in_motion ?b)) (in ?h ?b))) ) ) ) (preference throwToRamp (exists (?b - ball ?r - triangular_ramp) (then (once (and (agent_holds ?b) (adjacent agent door))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (in ?r ?b))) (hold (and (not (in_motion ?b)) (on ?r ?b))) (once (not (in_motion ?b))) ) ) ) ),93,147,0.2286158631415241,7,7.6172feb1665491d1efbce164-0.constraints.3,True
0,6172feb1665491d1efbce164-0,constraints,[ 1 27 28],[88 83],4,(and (forall (?b - (either dodgeball golfball) ?t - (either hexagonal_bin triangular_ramp)) (preference throwToRampOrBin (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (in ?t ?b))) ) ) ) (preference throwAttempt (exists (?b - (either dodgeball golfball)) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) )),148,290,0.6621004566210046,7,7.6172feb1665491d1efbce164-0.constraints.4,True
0,6172feb1665491d1efbce164-0,constraints,[ 1 27 28],[88 83],5,(and (preference throwToRampToBin (exists (?b - dodgeball ?h - hexagonal_bin ?r - triangular_ramp) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b) (not (exists (?g - game_object) (touch ?g ?b))))) (once (and (not (in_motion ?b)) (in ?h ?b))) ) ) ) (preference throwAttempt (exists (?b - dodgeball) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) )),327,119,0.2668161434977578,7,7.6172feb1665491d1efbce164-0.constraints.5,True
0,6172feb1665491d1efbce164-0,terminal,[29 34 12],[81 47],0,(>= (count-once-per-objects binKnockedOver) 2,0,28,0.6222222222222222,7,7.6172feb1665491d1efbce164-0.terminal.0,True
0,6172feb1665491d1efbce164-0,terminal,[29 34 12],[81 47],1,(>= (count throwToRampToBin) 3),10,17,0.5483870967741935,7,7.6172feb1665491d1efbce164-0.terminal.1,True
0,6172feb1665491d1efbce164-0,terminal,[29 34 12],[81 47],2,(not (exists (?b - ball ?r - triangular_ramp) (touch ?b ?r))),4,40,0.6557377049180327,7,7.6172feb1665491d1efbce164-0.terminal.2,False
0,6172feb1665491d1efbce164-0,scoring,[42 45 54],[56 48],0,(+ (* 10 (count throwToRampToBin)) (* -10 (count binKnockedOver)) ))),15,17,0.2463768115942029,7,7.6172feb1665491d1efbce164-0.scoring.0,False
0,6172feb1665491d1efbce164-0,scoring,[42 45 54],[56 48],1,(+ (count-once throwToRampToBin) (- (count binKnockedOver)) (* 100 (>= (count-once binKnockedOver) 1)) ))),66,35,0.330188679245283,7,7.6172feb1665491d1efbce164-0.scoring.1,True
0,6172feb1665491d1efbce164-0,scoring,[42 45 54],[56 48],2,(+ (count throwToRampToBin) (* -2 (count-once binKnockedOver)) (* 100 (count-once (>= (count throwToRampToBin) 5))) ))),33,28,0.2352941176470588,7,7.6172feb1665491d1efbce164-0.scoring.2,False
1,5f77754ba932fb2c4ba181d8-2,setup,[59 63 89],[58 95],0,(and (exists (?t - (either top_drawer hexagonal_bin)) (game-conserved (adjacent ?t door))) ),52,20,0.217391304347826,7,7.5f77754ba932fb2c4ba181d8-2.setup.0,True
1,5f77754ba932fb2c4ba181d8-2,setup,[59 63 89],[58 95],1,(and (forall (?b - ball ?h - hexagonal_bin) (game-optional (> (distance ?h ?b) 0.5))) (exists (?r - curved_wooden_ramp) (game-optional (adjacent ?r door))) )),19,23,0.1455696202531645,7,7.5f77754ba932fb2c4ba181d8-2.setup.1,True
1,5f77754ba932fb2c4ba181d8-2,setup,[59 63 89],[58 95],2,(and (exists (?b - beachball ?h - hexagonal_bin) (game-conserved (in ?h ?b))) (exists (?t - top_drawer ?h - hexagonal_bin) (game-conserved (in ?h ?t))) ),24,23,0.1503267973856209,7,7.5f77754ba932fb2c4ba181d8-2.setup.2,True
1,5f77754ba932fb2c4ba181d8-2,constraints,[ 0 27 28],[88 83],0,(and (preference throwToDrawerOrBin (exists (?b - (either golfball dodgeball) ?h - (either hexagonal_bin top_drawer)) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (or (in ?h ?b) (on ?h ?b)))) ) ) ) (preference throwAttempt (exists (?b - (either golfball dodgeball)) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) ),116,116,0.2577777777777778,7,7.5f77754ba932fb2c4ba181d8-2.constraints.0,True
1,5f77754ba932fb2c4ba181d8-2,constraints,[ 0 27 28],[88 83],1,(and (forall (?b - (either golfball dodgeball)) (preference throwToDrawerOrBin (exists (?h - (either hexagonal_bin top_drawer)) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (or (in ?h ?b) (on ?h ?b)))) ) ) ) ) (preference throwAttempt (exists (?b - (either golfball dodgeball)) (then (once (agent_holds ?b)) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (not (in_motion ?b))) ) ) ) )),126,116,0.2505399568034557,7,7.5f77754ba932fb2c4ba181d8-2.constraints.1,True
1,5f77754ba932fb2c4ba181d8-2,constraints,[ 0 27 28],[88 83],2,(and (forall (?b - (either golfball dodgeball)) (preference throwToDrawerOrBin (exists (?h - (either bin drawer) ?d - desk) (then (once (and (agent_holds ?b) (adjacent agent ?d))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (or (in ?h ?b) (on ?h ?b)))) ) ) ) ) (forall (?b - (either golfball dodgeball)) (preference throwToDrawerOrBin:?b (exists (?h - (either bin drawer) ?d - desk) (then (once (and (agent_holds ?b) (adjacent agent ?d))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (or (in ?h ?b) (on ?h ?b)))) ) ) ) ) (forall (?b - (either golfball dodgeball) ?h - (either bin drawer)) (preference throwToDrawerOrBin:?b:?h (exists (?d - desk) (then (once (and (agent_holds ?b) (adjacent agent ?d))) (hold (and (not (agent_holds ?b)) (in_motion ?b))) (once (and (not (in_motion ?b)) (or (in ?h ?b) (on ?h ?b)))) ) ) ) ) ),177,87,0.0966666666666666,7,7.5f77754ba932fb2c4ba181d8-2.constraints.2,False
